year,city,type,sub_type,number
2010,"Ottawa",Total violent Criminal Code violations,Actual incidents,10416
2011,"Ottawa",Total violent Criminal Code violations,Actual incidents,10332
1998,"Ottawa",Total violent Criminal Code violations,"Rate per 100,000 population",1201.32
1999,"Ottawa",Total violent Criminal Code violations,"Rate per 100,000 population",1095.56
2000,"Ottawa",Total violent Criminal Code violations,"Rate per 100,000 population",1106.68
2001,"Ottawa",Total violent Criminal Code violations,"Rate per 100,000 population",1277.95
2002,"Ottawa",Total violent Criminal Code violations,"Rate per 100,000 population",1224.34
2003,"Ottawa",Total violent Criminal Code violations,"Rate per 100,000 population",1203.26
2004,"Ottawa",Total violent Criminal Code violations,"Rate per 100,000 population",1165.63
2005,"Ottawa",Total violent Criminal Code violations,"Rate per 100,000 population",1083.9
2006,"Ottawa",Total violent Criminal Code violations,"Rate per 100,000 population",1025.44
2007,"Ottawa",Total violent Criminal Code violations,"Rate per 100,000 population",974.56
2008,"Ottawa",Total violent Criminal Code violations,"Rate per 100,000 population",915.96
2009,"Ottawa",Total violent Criminal Code violations,"Rate per 100,000 population",912.98
2010,"Ottawa",Total violent Criminal Code violations,"Rate per 100,000 population",840.97
2011,"Ottawa",Total violent Criminal Code violations,"Rate per 100,000 population",820.99
1998,"Ottawa",Homicide,Actual incidents,7
1999,"Ottawa",Homicide,Actual incidents,17
2000,"Ottawa",Homicide,Actual incidents,10
2001,"Ottawa",Homicide,Actual incidents,5
2002,"Ottawa",Homicide,Actual incidents,14
2003,"Ottawa",Homicide,Actual incidents,13
2004,"Ottawa",Homicide,Actual incidents,11
2005,"Ottawa",Homicide,Actual incidents,15
2006,"Ottawa",Homicide,Actual incidents,25
2007,"Ottawa",Homicide,Actual incidents,16
2008,"Ottawa",Homicide,Actual incidents,15
2009,"Ottawa",Homicide,Actual incidents,12
2010,"Ottawa",Homicide,Actual incidents,14
2011,"Ottawa",Homicide,Actual incidents,16
1998,"Ottawa",Homicide,"Rate per 100,000 population",0.67
1999,"Ottawa",Homicide,"Rate per 100,000 population",1.59
2000,"Ottawa",Homicide,"Rate per 100,000 population",0.92
2001,"Ottawa",Homicide,"Rate per 100,000 population",0.45
2002,"Ottawa",Homicide,"Rate per 100,000 population",1.24
2003,"Ottawa",Homicide,"Rate per 100,000 population",1.13
2004,"Ottawa",Homicide,"Rate per 100,000 population",0.95
2005,"Ottawa",Homicide,"Rate per 100,000 population",1.29
2006,"Ottawa",Homicide,"Rate per 100,000 population",2.12
2007,"Ottawa",Homicide,"Rate per 100,000 population",1.34
2008,"Ottawa",Homicide,"Rate per 100,000 population",1.24
2009,"Ottawa",Homicide,"Rate per 100,000 population",0.98
2010,"Ottawa",Homicide,"Rate per 100,000 population",1.13
2011,"Ottawa",Homicide,"Rate per 100,000 population",1.27
1998,"Toronto","Total, all violations",Actual incidents,304229
1999,"Toronto","Total, all violations",Actual incidents,277117
2000,"Toronto","Total, all violations",Actual incidents,279891
2001,"Toronto","Total, all violations",Actual incidents,291199
2002,"Toronto","Total, all violations",Actual incidents,292663
2003,"Toronto","Total, all violations",Actual incidents,281099
2004,"Toronto","Total, all violations",Actual incidents,262361
2005,"Toronto","Total, all violations",Actual incidents,257416
2006,"Toronto","Total, all violations",Actual incidents,265324
2007,"Toronto","Total, all violations",Actual incidents,256138
2008,"Toronto","Total, all violations",Actual incidents,245400
2009,"Toronto","Total, all violations",Actual incidents,237511
2010,"Toronto","Total, all violations",Actual incidents,228905
2011,"Toronto","Total, all violations",Actual incidents,223249
1998,"Toronto","Total, all violations","Rate per 100,000 population",6702.41
1999,"Toronto","Total, all violations","Rate per 100,000 population",5954.94
2000,"Toronto","Total, all violations","Rate per 100,000 population",5886.41
2001,"Toronto","Total, all violations","Rate per 100,000 population",5953.37
2002,"Toronto","Total, all violations","Rate per 100,000 population",5820.19
2003,"Toronto","Total, all violations","Rate per 100,000 population",5484.75
2004,"Toronto","Total, all violations","Rate per 100,000 population",5020.61
2005,"Toronto","Total, all violations","Rate per 100,000 population",4834.88
2006,"Toronto","Total, all violations","Rate per 100,000 population",4974.42
2007,"Toronto","Total, all violations","Rate per 100,000 population",4725.46
2008,"Toronto","Total, all violations","Rate per 100,000 population",4467.79
2009,"Toronto","Total, all violations","Rate per 100,000 population",4249.45
2010,"Toronto","Total, all violations","Rate per 100,000 population",4018.77
2011,"Toronto","Total, all violations","Rate per 100,000 population",3860.17
1998,"Toronto",Total violent Criminal Code violations,Actual incidents,50748
1999,"Toronto",Total violent Criminal Code violations,Actual incidents,53161
2000,"Toronto",Total violent Criminal Code violations,Actual incidents,61338
2001,"Toronto",Total violent Criminal Code violations,Actual incidents,63564
2002,"Toronto",Total violent Criminal Code violations,Actual incidents,60846
2003,"Toronto",Total violent Criminal Code violations,Actual incidents,56689
2004,"Toronto",Total violent Criminal Code violations,Actual incidents,54214
2005,"Toronto",Total violent Criminal Code violations,Actual incidents,55034
2006,"Toronto",Total violent Criminal Code violations,Actual incidents,56206
2007,"Toronto",Total violent Criminal Code violations,Actual incidents,56708
2008,"Toronto",Total violent Criminal Code violations,Actual incidents,54215
2009,"Toronto",Total violent Criminal Code violations,Actual incidents,52560
2010,"Toronto",Total violent Criminal Code violations,Actual incidents,51599
2011,"Toronto",Total violent Criminal Code violations,Actual incidents,50665
1998,"Toronto",Total violent Criminal Code violations,"Rate per 100,000 population",1118.02
1999,"Toronto",Total violent Criminal Code violations,"Rate per 100,000 population",1142.37
2000,"Toronto",Total violent Criminal Code violations,"Rate per 100,000 population",1290
2001,"Toronto",Total violent Criminal Code violations,"Rate per 100,000 population",1299.52
2002,"Toronto",Total violent Criminal Code violations,"Rate per 100,000 population",1210.05
2003,"Toronto",Total violent Criminal Code violations,"Rate per 100,000 population",1106.1
2004,"Toronto",Total violent Criminal Code violations,"Rate per 100,000 population",1037.45
2005,"Toronto",Total violent Criminal Code violations,"Rate per 100,000 population",1033.67
2006,"Toronto",Total violent Criminal Code violations,"Rate per 100,000 population",1053.78
2007,"Toronto",Total violent Criminal Code violations,"Rate per 100,000 population",1046.2
2008,"Toronto",Total violent Criminal Code violations,"Rate per 100,000 population",987.05
2009,"Toronto",Total violent Criminal Code violations,"Rate per 100,000 population",940.38
2010,"Toronto",Total violent Criminal Code violations,"Rate per 100,000 population",905.9
2011,"Toronto",Total violent Criminal Code violations,"Rate per 100,000 population",876.04
1998,"Toronto",Homicide,Actual incidents,76
1999,"Toronto",Homicide,Actual incidents,61
2000,"Toronto",Homicide,Actual incidents,81
2001,"Toronto",Homicide,Actual incidents,78
2002,"Toronto",Homicide,Actual incidents,90
2003,"Toronto",Homicide,Actual incidents,95
2004,"Toronto",Homicide,Actual incidents,94
2005,"Toronto",Homicide,Actual incidents,104
2006,"Toronto",Homicide,Actual incidents,99
2007,"Toronto",Homicide,Actual incidents,112
2008,"Toronto",Homicide,Actual incidents,103
2009,"Toronto",Homicide,Actual incidents,90
2010,"Toronto",Homicide,Actual incidents,80
2011,"Toronto",Homicide,Actual incidents,86
1998,"Toronto",Homicide,"Rate per 100,000 population",1.67
1999,"Toronto",Homicide,"Rate per 100,000 population",1.31
2000,"Toronto",Homicide,"Rate per 100,000 population",1.7
2001,"Toronto",Homicide,"Rate per 100,000 population",1.59
2002,"Toronto",Homicide,"Rate per 100,000 population",1.79
2003,"Toronto",Homicide,"Rate per 100,000 population",1.85
2004,"Toronto",Homicide,"Rate per 100,000 population",1.8
2005,"Toronto",Homicide,"Rate per 100,000 population",1.95
2006,"Toronto",Homicide,"Rate per 100,000 population",1.86
2007,"Toronto",Homicide,"Rate per 100,000 population",2.07
2008,"Toronto",Homicide,"Rate per 100,000 population",1.88
2009,"Toronto",Homicide,"Rate per 100,000 population",1.61
2010,"Toronto",Homicide,"Rate per 100,000 population",1.4
2011,"Toronto",Homicide,"Rate per 100,000 population",1.49
1998,"Winnipeg","Total, all violations",Actual incidents,70678
1999,"Winnipeg","Total, all violations",Actual incidents,69601
2000,"Winnipeg","Total, all violations",Actual incidents,73994
2001,"Winnipeg","Total, all violations",Actual incidents,78002
2002,"Winnipeg","Total, all violations",Actual incidents,76214
2003,"Winnipeg","Total, all violations",Actual incidents,85001
2004,"Winnipeg","Total, all violations",Actual incidents,87228
2005,"Winnipeg","Total, all violations",Actual incidents,80005
2006,"Winnipeg","Total, all violations",Actual incidents,82774
2007,"Winnipeg","Total, all violations",Actual incidents,73762
2008,"Winnipeg","Total, all violations",Actual incidents,64548
2009,"Winnipeg","Total, all violations",Actual incidents,72456
2010,"Winnipeg","Total, all violations",Actual incidents,60538
2011,"Winnipeg","Total, all violations",Actual incidents,51975
1998,"Winnipeg","Total, all violations","Rate per 100,000 population",10566.52
1999,"Winnipeg","Total, all violations","Rate per 100,000 population",10360.5
2000,"Winnipeg","Total, all violations","Rate per 100,000 population",10936.09
2001,"Winnipeg","Total, all violations","Rate per 100,000 population",11470.98
2002,"Winnipeg","Total, all violations","Rate per 100,000 population",11151.85
2003,"Winnipeg","Total, all violations","Rate per 100,000 population",12324.34
2004,"Winnipeg","Total, all violations","Rate per 100,000 population",12555.04
2005,"Winnipeg","Total, all violations","Rate per 100,000 population",11488.27
2006,"Winnipeg","Total, all violations","Rate per 100,000 population",11337.18
2007,"Winnipeg","Total, all violations","Rate per 100,000 population",9823.35
2008,"Winnipeg","Total, all violations","Rate per 100,000 population",8503.16
2009,"Winnipeg","Total, all violations","Rate per 100,000 population",9426.94
2010,"Winnipeg","Total, all violations","Rate per 100,000 population",7770.58
2011,"Winnipeg","Total, all violations","Rate per 100,000 population",6773.96
1998,"Winnipeg",Total violent Criminal Code violations,Actual incidents,10504
1999,"Winnipeg",Total violent Criminal Code violations,Actual incidents,10480
2000,"Winnipeg",Total violent Criminal Code violations,Actual incidents,12052
2001,"Winnipeg",Total violent Criminal Code violations,Actual incidents,11800
2002,"Winnipeg",Total violent Criminal Code violations,Actual incidents,11702
2003,"Winnipeg",Total violent Criminal Code violations,Actual incidents,11180
2004,"Winnipeg",Total violent Criminal Code violations,Actual incidents,11040
2005,"Winnipeg",Total violent Criminal Code violations,Actual incidents,11418
2006,"Winnipeg",Total violent Criminal Code violations,Actual incidents,11885
2007,"Winnipeg",Total violent Criminal Code violations,Actual incidents,10251
2008,"Winnipeg",Total violent Criminal Code violations,Actual incidents,10682
2009,"Winnipeg",Total violent Criminal Code violations,Actual incidents,11997
2010,"Winnipeg",Total violent Criminal Code violations,Actual incidents,11192
2011,"Winnipeg",Total violent Criminal Code violations,Actual incidents,10266
1998,"Winnipeg",Total violent Criminal Code violations,"Rate per 100,000 population",1570.37
1999,"Winnipeg",Total violent Criminal Code violations,"Rate per 100,000 population",1560.01
2000,"Winnipeg",Total violent Criminal Code violations,"Rate per 100,000 population",1781.25
2001,"Winnipeg",Total violent Criminal Code violations,"Rate per 100,000 population",1735.31
2002,"Winnipeg",Total violent Criminal Code violations,"Rate per 100,000 population",1712.27
2003,"Winnipeg",Total violent Criminal Code violations,"Rate per 100,000 population",1620.99
2004,"Winnipeg",Total violent Criminal Code violations,"Rate per 100,000 population",1589.03
2005,"Winnipeg",Total violent Criminal Code violations,"Rate per 100,000 population",1639.56
2006,"Winnipeg",Total violent Criminal Code violations,"Rate per 100,000 population",1627.83
2007,"Winnipeg",Total violent Criminal Code violations,"Rate per 100,000 population",1365.19
2008,"Winnipeg",Total violent Criminal Code violations,"Rate per 100,000 population",1407.18
2009,"Winnipeg",Total violent Criminal Code violations,"Rate per 100,000 population",1560.88
2010,"Winnipeg",Total violent Criminal Code violations,"Rate per 100,000 population",1436.59
2011,"Winnipeg",Total violent Criminal Code violations,"Rate per 100,000 population",1337.98
1998,"Winnipeg",Homicide,Actual incidents,18
1999,"Winnipeg",Homicide,Actual incidents,15
2000,"Winnipeg",Homicide,Actual incidents,17
2001,"Winnipeg",Homicide,Actual incidents,19
2002,"Winnipeg",Homicide,Actual incidents,23
2003,"Winnipeg",Homicide,Actual incidents,18
2004,"Winnipeg",Homicide,Actual incidents,34
2005,"Winnipeg",Homicide,Actual incidents,26
2006,"Winnipeg",Homicide,Actual incidents,22
2007,"Winnipeg",Homicide,Actual incidents,27
2008,"Winnipeg",Homicide,Actual incidents,31
2009,"Winnipeg",Homicide,Actual incidents,32
2010,"Winnipeg",Homicide,Actual incidents,22
2011,"Winnipeg",Homicide,Actual incidents,39
1998,"Winnipeg",Homicide,"Rate per 100,000 population",2.69
1999,"Winnipeg",Homicide,"Rate per 100,000 population",2.23
2000,"Winnipeg",Homicide,"Rate per 100,000 population",2.51
2001,"Winnipeg",Homicide,"Rate per 100,000 population",2.79
2002,"Winnipeg",Homicide,"Rate per 100,000 population",3.37
2003,"Winnipeg",Homicide,"Rate per 100,000 population",2.61
2004,"Winnipeg",Homicide,"Rate per 100,000 population",4.89
2005,"Winnipeg",Homicide,"Rate per 100,000 population",3.73
2006,"Winnipeg",Homicide,"Rate per 100,000 population",3.01
2007,"Winnipeg",Homicide,"Rate per 100,000 population",3.6
2008,"Winnipeg",Homicide,"Rate per 100,000 population",4.08
2009,"Winnipeg",Homicide,"Rate per 100,000 population",4.16
2010,"Winnipeg",Homicide,"Rate per 100,000 population",2.82
2011,"Winnipeg",Homicide,"Rate per 100,000 population",5.08
1998,"Saskatoon","Total, all violations",Actual incidents,29049
1999,"Saskatoon","Total, all violations",Actual incidents,28879
2000,"Saskatoon","Total, all violations",Actual incidents,31515
2001,"Saskatoon","Total, all violations",Actual incidents,32739
2002,"Saskatoon","Total, all violations",Actual incidents,32961
2003,"Saskatoon","Total, all violations",Actual incidents,38378
2004,"Saskatoon","Total, all violations",Actual incidents,35074
2005,"Saskatoon","Total, all violations",Actual incidents,34123
2006,"Saskatoon","Total, all violations",Actual incidents,31606
2007,"Saskatoon","Total, all violations",Actual incidents,32167
2008,"Saskatoon","Total, all violations",Actual incidents,30300
2009,"Saskatoon","Total, all violations",Actual incidents,29352
2010,"Saskatoon","Total, all violations",Actual incidents,28011
2011,"Saskatoon","Total, all violations",Actual incidents,28487
1998,"Saskatoon","Total, all violations","Rate per 100,000 population",12667.73
1999,"Saskatoon","Total, all violations","Rate per 100,000 population",12533.58
2000,"Saskatoon","Total, all violations","Rate per 100,000 population",13675.77
2001,"Saskatoon","Total, all violations","Rate per 100,000 population",13769.48
2002,"Saskatoon","Total, all violations","Rate per 100,000 population",13797.56
2003,"Saskatoon","Total, all violations","Rate per 100,000 population",15887.96
2004,"Saskatoon","Total, all violations","Rate per 100,000 population",14416.42
2005,"Saskatoon","Total, all violations","Rate per 100,000 population",13987.76
2006,"Saskatoon","Total, all violations","Rate per 100,000 population",12714.82
2007,"Saskatoon","Total, all violations","Rate per 100,000 population",12737.94
2008,"Saskatoon","Total, all violations","Rate per 100,000 population",11735.13
2009,"Saskatoon","Total, all violations","Rate per 100,000 population",11084.01
2010,"Saskatoon","Total, all violations","Rate per 100,000 population",10314.35
2011,"Saskatoon","Total, all violations","Rate per 100,000 population",10265.44
1998,"Saskatoon",Total violent Criminal Code violations,Actual incidents,4199
1999,"Saskatoon",Total violent Criminal Code violations,Actual incidents,4308
2000,"Saskatoon",Total violent Criminal Code violations,Actual incidents,4539
2001,"Saskatoon",Total violent Criminal Code violations,Actual incidents,5060
2002,"Saskatoon",Total violent Criminal Code violations,Actual incidents,5231
2003,"Saskatoon",Total violent Criminal Code violations,Actual incidents,5668
2004,"Saskatoon",Total violent Criminal Code violations,Actual incidents,5008
2005,"Saskatoon",Total violent Criminal Code violations,Actual incidents,5080
2006,"Saskatoon",Total violent Criminal Code violations,Actual incidents,5214
2007,"Saskatoon",Total violent Criminal Code violations,Actual incidents,5294
2008,"Saskatoon",Total violent Criminal Code violations,Actual incidents,4962
2009,"Saskatoon",Total violent Criminal Code violations,Actual incidents,4698
2010,"Saskatoon",Total violent Criminal Code violations,Actual incidents,4825
2011,"Saskatoon",Total violent Criminal Code violations,Actual incidents,4594
1998,"Saskatoon",Total violent Criminal Code violations,"Rate per 100,000 population",1831.11
1999,"Saskatoon",Total violent Criminal Code violations,"Rate per 100,000 population",1869.69
2000,"Saskatoon",Total violent Criminal Code violations,"Rate per 100,000 population",1969.68
2001,"Saskatoon",Total violent Criminal Code violations,"Rate per 100,000 population",2128.15
2002,"Saskatoon",Total violent Criminal Code violations,"Rate per 100,000 population",2189.71
2003,"Saskatoon",Total violent Criminal Code violations,"Rate per 100,000 population",2346.47
2004,"Saskatoon",Total violent Criminal Code violations,"Rate per 100,000 population",2058.43
2005,"Saskatoon",Total violent Criminal Code violations,"Rate per 100,000 population",2082.4
2006,"Saskatoon",Total violent Criminal Code violations,"Rate per 100,000 population",2097.55
2007,"Saskatoon",Total violent Criminal Code violations,"Rate per 100,000 population",2096.39
2008,"Saskatoon",Total violent Criminal Code violations,"Rate per 100,000 population",1921.77
2009,"Saskatoon",Total violent Criminal Code violations,"Rate per 100,000 population",1774.08
2010,"Saskatoon",Total violent Criminal Code violations,"Rate per 100,000 population",1776.69
2011,"Saskatoon",Total violent Criminal Code violations,"Rate per 100,000 population",1655.47
1998,"Saskatoon",Homicide,Actual incidents,7
1999,"Saskatoon",Homicide,Actual incidents,4
2000,"Saskatoon",Homicide,Actual incidents,7
2001,"Saskatoon",Homicide,Actual incidents,1
2002,"Saskatoon",Homicide,Actual incidents,8
2003,"Saskatoon",Homicide,Actual incidents,8
2004,"Saskatoon",Homicide,Actual incidents,8
2005,"Saskatoon",Homicide,Actual incidents,9
2006,"Saskatoon",Homicide,Actual incidents,9
2007,"Saskatoon",Homicide,Actual incidents,9
2008,"Saskatoon",Homicide,Actual incidents,4
2009,"Saskatoon",Homicide,Actual incidents,6
2010,"Saskatoon",Homicide,Actual incidents,10
2011,"Saskatoon",Homicide,Actual incidents,6
1998,"Saskatoon",Homicide,"Rate per 100,000 population",3.05
1999,"Saskatoon",Homicide,"Rate per 100,000 population",1.74
2000,"Saskatoon",Homicide,"Rate per 100,000 population",3.04
2001,"Saskatoon",Homicide,"Rate per 100,000 population",0.42
2002,"Saskatoon",Homicide,"Rate per 100,000 population",3.35
2003,"Saskatoon",Homicide,"Rate per 100,000 population",3.31
2004,"Saskatoon",Homicide,"Rate per 100,000 population",3.29
2005,"Saskatoon",Homicide,"Rate per 100,000 population",3.69
2006,"Saskatoon",Homicide,"Rate per 100,000 population",3.62
2007,"Saskatoon",Homicide,"Rate per 100,000 population",3.56
2008,"Saskatoon",Homicide,"Rate per 100,000 population",1.55
2009,"Saskatoon",Homicide,"Rate per 100,000 population",2.27
2010,"Saskatoon",Homicide,"Rate per 100,000 population",3.68
2011,"Saskatoon",Homicide,"Rate per 100,000 population",2.16
1998,"Calgary","Total, all violations",Actual incidents,76046
1999,"Calgary","Total, all violations",Actual incidents,75236
2000,"Calgary","Total, all violations",Actual incidents,72423
2001,"Calgary","Total, all violations",Actual incidents,73930
2002,"Calgary","Total, all violations",Actual incidents,75030
2003,"Calgary","Total, all violations",Actual incidents,78278
2004,"Calgary","Total, all violations",Actual incidents,78165
2005,"Calgary","Total, all violations",Actual incidents,76920
2006,"Calgary","Total, all violations",Actual incidents,79267
2007,"Calgary","Total, all violations",Actual incidents,75974
2008,"Calgary","Total, all violations",Actual incidents,73257
2009,"Calgary","Total, all violations",Actual incidents,71234
2010,"Calgary","Total, all violations",Actual incidents,68176
2011,"Calgary","Total, all violations",Actual incidents,63164
1998,"Calgary","Total, all violations","Rate per 100,000 population",8370.86
1999,"Calgary","Total, all violations","Rate per 100,000 population",8056.59
2000,"Calgary","Total, all violations","Rate per 100,000 population",7558.13
2001,"Calgary","Total, all violations","Rate per 100,000 population",7530.52
2002,"Calgary","Total, all violations","Rate per 100,000 population",7448.99
2003,"Calgary","Total, all violations","Rate per 100,000 population",7589.7
2004,"Calgary","Total, all violations","Rate per 100,000 population",7431.16
2005,"Calgary","Total, all violations","Rate per 100,000 population",7175.79
2006,"Calgary","Total, all violations","Rate per 100,000 population",7043.44
2007,"Calgary","Total, all violations","Rate per 100,000 population",6547.52
2008,"Calgary","Total, all violations","Rate per 100,000 population",6141.07
2009,"Calgary","Total, all violations","Rate per 100,000 population",5807.77
2010,"Calgary","Total, all violations","Rate per 100,000 population",5464.22
2011,"Calgary","Total, all violations","Rate per 100,000 population",4969.92
1998,"Calgary",Total violent Criminal Code violations,Actual incidents,8745
1999,"Calgary",Total violent Criminal Code violations,Actual incidents,9686
2000,"Calgary",Total violent Criminal Code violations,Actual incidents,10318
2001,"Calgary",Total violent Criminal Code violations,Actual incidents,10492
2002,"Calgary",Total violent Criminal Code violations,Actual incidents,9997
2003,"Calgary",Total violent Criminal Code violations,Actual incidents,10823
2004,"Calgary",Total violent Criminal Code violations,Actual incidents,11300
2005,"Calgary",Total violent Criminal Code violations,Actual incidents,11117
2006,"Calgary",Total violent Criminal Code violations,Actual incidents,11142
2007,"Calgary",Total violent Criminal Code violations,Actual incidents,10092
2008,"Calgary",Total violent Criminal Code violations,Actual incidents,10231
2009,"Calgary",Total violent Criminal Code violations,Actual incidents,10581
2010,"Calgary",Total violent Criminal Code violations,Actual incidents,10684
2011,"Calgary",Total violent Criminal Code violations,Actual incidents,10013
1998,"Calgary",Total violent Criminal Code violations,"Rate per 100,000 population",962.62
1999,"Calgary",Total violent Criminal Code violations,"Rate per 100,000 population",1037.22
2000,"Calgary",Total violent Criminal Code violations,"Rate per 100,000 population",1076.8
2001,"Calgary",Total violent Criminal Code violations,"Rate per 100,000 population",1068.72
2002,"Calgary",Total violent Criminal Code violations,"Rate per 100,000 population",992.5
2003,"Calgary",Total violent Criminal Code violations,"Rate per 100,000 population",1049.38
2004,"Calgary",Total violent Criminal Code violations,"Rate per 100,000 population",1074.29
2005,"Calgary",Total violent Criminal Code violations,"Rate per 100,000 population",1037.09
2006,"Calgary",Total violent Criminal Code violations,"Rate per 100,000 population",990.05
2007,"Calgary",Total violent Criminal Code violations,"Rate per 100,000 population",869.74
2008,"Calgary",Total violent Criminal Code violations,"Rate per 100,000 population",857.66
2009,"Calgary",Total violent Criminal Code violations,"Rate per 100,000 population",862.68
2010,"Calgary",Total violent Criminal Code violations,"Rate per 100,000 population",856.31
2011,"Calgary",Total violent Criminal Code violations,"Rate per 100,000 population",787.85
1998,"Calgary",Homicide,Actual incidents,19
1999,"Calgary",Homicide,Actual incidents,13
2000,"Calgary",Homicide,Actual incidents,16
2001,"Calgary",Homicide,Actual incidents,15
2002,"Calgary",Homicide,Actual incidents,15
2003,"Calgary",Homicide,Actual incidents,11
2004,"Calgary",Homicide,Actual incidents,20
2005,"Calgary",Homicide,Actual incidents,25
2006,"Calgary",Homicide,Actual incidents,25
2007,"Calgary",Homicide,Actual incidents,36
2008,"Calgary",Homicide,Actual incidents,34
2009,"Calgary",Homicide,Actual incidents,24
2010,"Calgary",Homicide,Actual incidents,15
2011,"Calgary",Homicide,Actual incidents,14
1998,"Calgary",Homicide,"Rate per 100,000 population",2.09
1999,"Calgary",Homicide,"Rate per 100,000 population",1.39
2000,"Calgary",Homicide,"Rate per 100,000 population",1.67
2001,"Calgary",Homicide,"Rate per 100,000 population",1.53
2002,"Calgary",Homicide,"Rate per 100,000 population",1.49
2003,"Calgary",Homicide,"Rate per 100,000 population",1.07
2004,"Calgary",Homicide,"Rate per 100,000 population",1.9
2005,"Calgary",Homicide,"Rate per 100,000 population",2.33
2006,"Calgary",Homicide,"Rate per 100,000 population",2.22
2007,"Calgary",Homicide,"Rate per 100,000 population",3.1
2008,"Calgary",Homicide,"Rate per 100,000 population",2.85
2009,"Calgary",Homicide,"Rate per 100,000 population",1.96
2010,"Calgary",Homicide,"Rate per 100,000 population",1.2
2011,"Calgary",Homicide,"Rate per 100,000 population",1.1
1998,"Edmonton","Total, all violations",Actual incidents,86498
1999,"Edmonton","Total, all violations",Actual incidents,83780
2000,"Edmonton","Total, all violations",Actual incidents,85298
2001,"Edmonton","Total, all violations",Actual incidents,92785
2002,"Edmonton","Total, all violations",Actual incidents,97872
2003,"Edmonton","Total, all violations",Actual incidents,108336
2004,"Edmonton","Total, all violations",Actual incidents,113044
2005,"Edmonton","Total, all violations",Actual incidents,114252
2006,"Edmonton","Total, all violations",Actual incidents,111890
2007,"Edmonton","Total, all violations",Actual incidents,111945
2008,"Edmonton","Total, all violations",Actual incidents,111627
2009,"Edmonton","Total, all violations",Actual incidents,111038
2010,"Edmonton","Total, all violations",Actual incidents,102537
2011,"Edmonton","Total, all violations",Actual incidents,92309
1998,"Edmonton","Total, all violations","Rate per 100,000 population",9348.63
1999,"Edmonton","Total, all violations","Rate per 100,000 population",8902.69
2000,"Edmonton","Total, all violations","Rate per 100,000 population",8916.55
2001,"Edmonton","Total, all violations","Rate per 100,000 population",9553.72
2002,"Edmonton","Total, all violations","Rate per 100,000 population",9890.28
2003,"Edmonton","Total, all violations","Rate per 100,000 population",10841.75
2004,"Edmonton","Total, all violations","Rate per 100,000 population",11170.47
2005,"Edmonton","Total, all violations","Rate per 100,000 population",11060.36
2006,"Edmonton","Total, all violations","Rate per 100,000 population",10345.81
2007,"Edmonton","Total, all violations","Rate per 100,000 population",10067.84
2008,"Edmonton","Total, all violations","Rate per 100,000 population",9819.04
2009,"Edmonton","Total, all violations","Rate per 100,000 population",9563.3
2010,"Edmonton","Total, all violations","Rate per 100,000 population",8699.75
2011,"Edmonton","Total, all violations","Rate per 100,000 population",7702.71
1998,"Edmonton",Total violent Criminal Code violations,Actual incidents,10796
1999,"Edmonton",Total violent Criminal Code violations,Actual incidents,10452
2000,"Edmonton",Total violent Criminal Code violations,Actual incidents,11452
2001,"Edmonton",Total violent Criminal Code violations,Actual incidents,12171
2002,"Edmonton",Total violent Criminal Code violations,Actual incidents,11755
2003,"Edmonton",Total violent Criminal Code violations,Actual incidents,12063
2004,"Edmonton",Total violent Criminal Code violations,Actual incidents,11480
2005,"Edmonton",Total violent Criminal Code violations,Actual incidents,11723
2006,"Edmonton",Total violent Criminal Code violations,Actual incidents,12410
2007,"Edmonton",Total violent Criminal Code violations,Actual incidents,14843
2008,"Edmonton",Total violent Criminal Code violations,Actual incidents,15497
2009,"Edmonton",Total violent Criminal Code violations,Actual incidents,15673
2010,"Edmonton",Total violent Criminal Code violations,Actual incidents,15197
2011,"Edmonton",Total violent Criminal Code violations,Actual incidents,14686
1998,"Edmonton",Total violent Criminal Code violations,"Rate per 100,000 population",1166.82
1999,"Edmonton",Total violent Criminal Code violations,"Rate per 100,000 population",1110.66
2000,"Edmonton",Total violent Criminal Code violations,"Rate per 100,000 population",1197.12
2001,"Edmonton",Total violent Criminal Code violations,"Rate per 100,000 population",1253.2
2002,"Edmonton",Total violent Criminal Code violations,"Rate per 100,000 population",1187.88
2003,"Edmonton",Total violent Criminal Code violations,"Rate per 100,000 population",1207.21
2004,"Edmonton",Total violent Criminal Code violations,"Rate per 100,000 population",1134.4
2005,"Edmonton",Total violent Criminal Code violations,"Rate per 100,000 population",1134.87
2006,"Edmonton",Total violent Criminal Code violations,"Rate per 100,000 population",1147.48
2007,"Edmonton",Total violent Criminal Code violations,"Rate per 100,000 population",1334.91
2008,"Edmonton",Total violent Criminal Code violations,"Rate per 100,000 population",1363.16
2009,"Edmonton",Total violent Criminal Code violations,"Rate per 100,000 population",1349.86
2010,"Edmonton",Total violent Criminal Code violations,"Rate per 100,000 population",1289.39
2011,"Edmonton",Total violent Criminal Code violations,"Rate per 100,000 population",1225.47
1998,"Edmonton",Homicide,Actual incidents,22
1999,"Edmonton",Homicide,Actual incidents,20
2000,"Edmonton",Homicide,Actual incidents,19
2001,"Edmonton",Homicide,Actual incidents,25
2002,"Edmonton",Homicide,Actual incidents,27
2003,"Edmonton",Homicide,Actual incidents,22
2004,"Edmonton",Homicide,Actual incidents,34
2005,"Edmonton",Homicide,Actual incidents,44
2006,"Edmonton",Homicide,Actual incidents,39
