City,CloseDate,EntityIDRoundID,IndustryCode,Industry Group,Industry Segment,Metropolitan Statistical Area,PrimaryRegion,RoundBusStat,RoundClassDescr,State,Subregion,Deals,Number of Deals,Raised
New York,2/22/2011,1.11223E+11,Entertainment,Consumer Services,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Second Round,NY,New York Metro,1,1,3.35
Groton,2/22/2011,6.12048E+11,Wind/Water and Geothermal Energy,Energy and Utilities,Renewable Energy,"Norwich-New London, CT",New England,Generating Revenue,First Round,CT,,1,1,0.23
Raleigh,2/22/2011,6.12061E+11,Healthcare Administration Software,Healthcare,Medical Software and Information Services,"Raleigh-Cary, NC",South East,Generating Revenue,First Round,NC,,1,1,
Philadelphia,2/22/2011,76987759201,Healthcare Administration Software,Healthcare,Medical Software and Information Services,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Generating Revenue,Later Stage,PA,,1,1,4
Farmington,2/22/2011,6.12056E+11,Drug Development Technologies,Healthcare,Biopharmaceuticals,"Hartford-West Hartford-East Hartford, CT",New England,Pre-Clinical Trials,Seed Round,CT,,1,1,0.15
New York,2/22/2011,1.02629E+11,Network/Systems Management Software,Information Technology,Software,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,NY,New York Metro,1,1,2.5
New York,2/23/2011,6.12537E+11,Real Estate,Business and Financial Services,Financial Institutions and Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,First Round,NY,New York Metro,1,1,
Mountain View,2/23/2011,6.1229E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,First Round,CA,San Francisco Bay Area,1,1,4.5
New York,2/23/2011,92673754507,Environmental Engineering/Services,Business and Financial Services,Construction and Civil Engineering,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,NY,New York Metro,1,1,15.93
New York,2/23/2011,3.57173E+11,Online Communities,Consumer Services,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,Later Stage,NY,New York Metro,1,1,
Bridgewater,2/23/2011,54514754583,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Clinical Trials - Phase 3,Later Stage,NJ,New York Metro,1,1,30
Brevard,2/23/2011,6.05727E+11,Pharmaceuticals,Healthcare,Biopharmaceuticals,"Asheville, NC",South East,Generating Revenue,Later Stage,NC,,1,1,1
Cambridge,2/23/2011,6.03974E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Second Round,MA,Boston Metro,1,1,11
Corona,2/23/2011,6.06182E+11,General Industrial Goods,Industrial Goods and Materials,Machinery and Industrial Goods,"Riverside-San Bernardino-Ontario, CA",Southern California,Product Development,Restart,CA,Los Angeles Metro,1,1,
Bloomsburg,2/23/2011,3.5455E+11,Communications Software,Information Technology,Software,"Scranton--Wilkes-Barre, PA",Mid-Atlantic,Generating Revenue,First Round,PA,,1,1,0.05
San Diego,2/23/2011,6.03392E+11,Vertical Market Applications Software,Information Technology,Software,"San Diego-Carlsbad-San Marcos, CA",Southern California,Product Development,First Round,CA,San Diego Metro,1,1,2.6
Campbell,2/23/2011,68610754448,Vertical Market Applications Software,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,1.1
Pittsburgh,2/23/2011,2.28673E+11,Business Applications Software,Information Technology,Software,"Pittsburgh, PA",Mid-Atlantic,Generating Revenue,Second Round,PA,,1,1,1.2
Pittsburgh,2/24/2011,6.12169E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"Pittsburgh, PA",Mid-Atlantic,Product Development,First Round,PA,,1,1,6
Brooklyn,2/24/2011,1.12342E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,Later Stage,NY,New York Metro,1,1,6
New York,2/24/2011,87919754526,Advertising/Marketing,Business and Financial Services,Business Support Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Profitable,Later Stage,NY,New York Metro,1,1,10
Chicago,2/24/2011,6.12103E+11,General Business Consulting,Business and Financial Services,Business Support Services,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Startup,Seed Round,IL,Chicago Metro,1,1,1.1
Pittsburgh,2/24/2011,95772755063,Search Portals,Consumer Services,Consumer Information Services,"Pittsburgh, PA",Mid-Atlantic,Generating Revenue,First Round,PA,,1,1,1.65
San Francisco,2/24/2011,6.12223E+11,Entertainment,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,First Round,CA,San Francisco Bay Area,1,1,18
San Jose,2/24/2011,96900755035,Solar Energy,Energy and Utilities,Renewable Energy,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Later Stage,CA,San Francisco Bay Area,1,1,28.5
Plymouth,2/24/2011,6.12769E+11,Medical Lab Instruments/Test Kits,Healthcare,Medical Devices and Equipment,"Minneapolis-St. Paul-Bloomington, MN-WI",Midwest Central,Startup,Later Stage,MN,,1,1,1.53
Foxboro,2/24/2011,59590754550,Healthcare Administration Software,Healthcare,Medical Software and Information Services,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Second Round,MA,Boston Metro,1,1,4.9
Menlo Park,2/24/2011,55245755110,Clinical Decision Support,Healthcare,Medical Software and Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Second Round,CA,San Francisco Bay Area,1,1,3.02
Portland,2/24/2011,6.06973E+11,Therapeutic Devices (Invasive),Healthcare,Medical Devices and Equipment,"Portland-Vancouver-Beaverton, OR-WA",Pacific Northwest,Product Development,Second Round,OR,,1,1,5
Edison,2/24/2011,6.12096E+11,Medical Lab Instruments/Test Kits,Healthcare,Medical Devices and Equipment,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,Seed Round,NJ,New York Metro,1,1,0.07
New York,2/24/2011,6.12091E+11,Business Applications Software,Information Technology,Software,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,First Round,NY,New York Metro,1,1,3
Chicago,2/24/2011,6.12159E+11,Vertical Market Applications Software,Information Technology,Software,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Generating Revenue,First Round,IL,Chicago Metro,1,1,1
Boston,2/24/2011,6.12083E+11,Business Applications Software,Information Technology,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Second Round,MA,Boston Metro,1,1,6
Coplay,2/24/2011,6.12206E+11,Multimedia/Streaming Software,Information Technology,Software,"Allentown-Bethlehem-Easton, PA-NJ",Mid-Atlantic,Product Development,Seed Round,PA,,1,1,0.07
Cambridge,2/24/2011,6.1212E+11,Application-Specific Integrated Circuits,Information Technology,Semiconductors,"Boston-Cambridge-Quincy, MA-NH",New England,Startup,Seed Round,MA,Boston Metro,1,1,1.8
Mountain View,2/25/2011,6.12386E+11,Personal/Commercial Banking,Business and Financial Services,Financial Institutions and Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product In Beta Test,First Round,CA,San Francisco Bay Area,1,1,4.5
Los Angeles,2/25/2011,6.12352E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Product Development,First Round,CA,Los Angeles Metro,1,1,15
Sunnyvale,2/25/2011,6.05364E+11,Materials and Chemicals: Other,Industrial Goods and Materials,Materials and Chemicals,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Second Round,CA,San Francisco Bay Area,1,1,4.8
New York,2/25/2011,6.07711E+11,Communications Software,Information Technology,Software,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,First Round,NY,New York Metro,1,1,5
Vancouver,2/25/2011,86579754979,Fiberoptic Equipment,Information Technology,Communications and Networking,"Portland-Vancouver-Beaverton, OR-WA",Pacific Northwest,Generating Revenue,Later Stage,WA,,1,1,11
New York,2/27/2011,6.12252E+11,Medical Software and Information Services: Other,Healthcare,Medical Software and Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Startup,First Round,NY,New York Metro,1,1,0.85
San Francisco,2/28/2011,6.12213E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,First Round,CA,San Francisco Bay Area,1,1,5.55
San Francisco,2/28/2011,6.12889E+11,Security Services,Business and Financial Services,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Startup,First Round,CA,San Francisco Bay Area,1,1,1.46
La Jolla,2/28/2011,6.12643E+11,General Business Consulting,Business and Financial Services,Business Support Services,"San Diego-Carlsbad-San Marcos, CA",Southern California,Generating Revenue,First Round,CA,San Diego Metro,1,1,5
San Mateo,2/28/2011,64933753981,Procurement/Supply Chain,Business and Financial Services,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,12
San Francisco,2/28/2011,1.0429E+11,Insurance,Business and Financial Services,Financial Institutions and Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,42
Mountain View,2/28/2011,3.56457E+11,Data Management Services,Business and Financial Services,Business Support Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Second Round,CA,San Francisco Bay Area,1,1,10
Cambridge,2/28/2011,6.1388E+11,Online Communities,Consumer Services,Consumer Information Services,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,First Round,MA,Boston Metro,1,1,1
Billerica,2/28/2011,2.28335E+11,Broadcasting,Consumer Services,Media and Content,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Second Round,MA,Boston Metro,1,1,0.81
Sherman Oaks,2/28/2011,1.82748E+11,Movie/Music Producers and Distributors,Consumer Services,Media and Content,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Second Round,CA,Los Angeles Metro,1,1,0.75
Los Angeles,2/28/2011,4.70421E+11,Household Goods/Services Retailers,Consumer Services,Retailers,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Second Round,CA,Los Angeles Metro,1,1,23
Los Angeles,2/28/2011,6.11761E+11,Entertainment,Consumer Services,Consumer Information Services,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Startup,Seed Round,CA,Los Angeles Metro,1,1,
Fremont,2/28/2011,6.10933E+11,Drug Development Technologies,Healthcare,Biopharmaceuticals,"San Francisco-Oakland-Fremont, CA",Northern California,Pre-Clinical Trials,First Round,CA,San Francisco Bay Area,1,1,1.6
Research Triangle Park,2/28/2011,59403754701,Diagnostic Imaging Equipment,Healthcare,Medical Devices and Equipment,"Durham-Chapel Hill, NC",South East,Generating Revenue,First Round,NC,,1,1,1.5
Bellevue,2/28/2011,1.13653E+11,Diagnostic Equipment (Not Imaging),Healthcare,Medical Devices and Equipment,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Product Development,Individual,WA,Seattle Metro,1,1,3.66
Bedminster,2/28/2011,3.60251E+11,Pharmaceuticals,Healthcare,Biopharmaceuticals,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Clinical Trials - Phase 3,Second Round,NJ,New York Metro,1,1,33.91
Ithaca,2/28/2011,67715753692,Materials and Chemicals: Other,Industrial Goods and Materials,Materials and Chemicals,"Ithaca, NY",Mid-Atlantic,Generating Revenue,Individual,NY,,1,1,1.4
Dallas,2/28/2011,2.29388E+11,Internet Service Providers,Information Technology,Communications and Networking,"Dallas-Fort Worth-Arlington, TX",South Central,Product Development,First Round,TX,Dallas-Fort Worth,1,1,8.9
Chicago,2/28/2011,64135757686,Business Applications Software,Information Technology,Software,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Generating Revenue,Later Stage,IL,Chicago Metro,1,1,1.35
Salt Lake City,2/28/2011,64551753655,Consumer Electronics,Information Technology,Electronics and Computer Hardware,"Salt Lake City, UT",Mountain,Generating Revenue,Later Stage,UT,,1,1,20
Novato,2/28/2011,63149754896,Communications Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,10
Redwood City,2/28/2011,63343754501,Communications Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Profitable,Later Stage,CA,San Francisco Bay Area,1,1,12
Atlanta,2/28/2011,64378754539,Vertical Market Applications Software,Information Technology,Software,"Atlanta-Sandy Springs-Marietta, GA",South East,Profitable,Later Stage,GA,,1,1,6
San Francisco,2/28/2011,6.06757E+11,Database Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,Second Round,CA,San Francisco Bay Area,1,1,7
New York,3/1/2011,6.12199E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,First Round,NY,New York Metro,1,1,
Boise,3/1/2011,6.12181E+11,Data Management Services,Business and Financial Services,Business Support Services,"Boise City-Nampa, ID",Mountain,Generating Revenue,Later Stage,ID,,1,1,
New York,3/1/2011,6.08502E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,Second Round,NY,New York Metro,1,1,5
Redwood City,3/1/2011,1.12991E+11,Business to Business Marketplaces,Business and Financial Services,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Second Round,CA,San Francisco Bay Area,1,1,12
Mountain View,3/1/2011,87934757897,Advertising/Marketing,Business and Financial Services,Business Support Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Second Round,CA,San Francisco Bay Area,1,1,5.1
Colton,3/1/2011,6.12197E+11,Non-Alcoholic Beverages,Consumer Goods,Food and Beverage,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Later Stage,CA,Los Angeles Metro,1,1,10
New York,3/1/2011,6.12664E+11,Transportation Services,Consumer Services,Travel and Leisure,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,First Round,NY,New York Metro,1,1,
New York,3/1/2011,1.11271E+11,Travel Arrangement/Tourism,Consumer Services,Travel and Leisure,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Startup,First Round,NY,New York Metro,1,1,0.56
Auburn,3/1/2011,6.13157E+11,Retailers: Other,Consumer Services,Retailers,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Generating Revenue,First Round,WA,Seattle Metro,1,1,
Brooklyn,3/1/2011,6.12193E+11,Shopping Facilitators,Consumer Services,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Profitable,Later Stage,NY,New York Metro,1,1,
Edison,3/1/2011,76570755224,Health Media/Content,Consumer Services,Media and Content,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Profitable,Later Stage,NJ,New York Metro,1,1,7.63
La Jolla,3/1/2011,6.12287E+11,Email/Messaging,Consumer Services,Consumer Information Services,"San Diego-Carlsbad-San Marcos, CA",Southern California,Generating Revenue,Second Round,CA,San Diego Metro,1,1,1.2
West Lebanon,3/1/2011,3.57046E+11,Renewable Energy: Other,Energy and Utilities,Renewable Energy,"Manchester-Nashua, NH",New England,Product Development,Second Round,NH,,1,1,20
Menlo Park,3/1/2011,6.12378E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,First Round,CA,San Francisco Bay Area,1,1,8.25
Menlo Park,3/1/2011,6.14096E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,First Round,CA,San Francisco Bay Area,1,1,12.1
Fremont,3/1/2011,6.1236E+11,Therapeutic Devices (Invasive),Healthcare,Medical Devices and Equipment,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,First Round,CA,San Francisco Bay Area,1,1,13.6
Princeton,3/1/2011,87927758040,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Trenton-Ewing, NJ",Mid-Atlantic,Clinical Trials - Phase 2,Later Stage,NJ,New York Metro,1,1,15
Wyomissing,3/1/2011,1.12738E+11,Medical Supplies,Healthcare,Medical Devices and Equipment,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Generating Revenue,Later Stage,PA,,1,1,1.29
Boulder,3/1/2011,89683758208,Pharmaceuticals,Healthcare,Biopharmaceuticals,"Boulder, CO",Mountain,Generating Revenue,Later Stage,CO,,1,1,3.3
Sunnyvale,3/1/2011,1.00562E+11,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Later Stage,CA,San Francisco Bay Area,1,1,10.18
San Diego,3/1/2011,72497753443,Basic Chemicals,Industrial Goods and Materials,Materials and Chemicals,"San Diego-Carlsbad-San Marcos, CA",Southern California,Generating Revenue,Later Stage,CA,San Diego Metro,1,1,45
Scranton,3/1/2011,86605757485,Materials and Chemicals: Other,Industrial Goods and Materials,Materials and Chemicals,"Scranton--Wilkes-Barre, PA",Mid-Atlantic,Generating Revenue,Second Round,PA,,1,1,0.5
Cupertino,3/1/2011,6.13076E+11,Network/Systems Management Software,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Startup,First Round,CA,San Francisco Bay Area,1,1,9.2
New York,3/1/2011,1.83279E+11,Communications Software,Information Technology,Software,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,NJ,New York Metro,1,1,16.5
New York,3/1/2011,6.12186E+11,Communications Software,Information Technology,Software,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,Seed Round,NY,New York Metro,1,1,1.8
Glen Allen,3/2/2011,96609755003,Search Portals,Consumer Services,Consumer Information Services,"Richmond, VA",Mid-Atlantic,Generating Revenue,Later Stage,VA,,1,1,27
Langhorne,3/2/2011,1.05706E+11,Pharmaceuticals,Healthcare,Biopharmaceuticals,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Generating Revenue,Later Stage,PA,,1,1,0.75
Newark,3/2/2011,6.05136E+11,Power Supplies,Information Technology,Electronics and Computer Hardware,"San Francisco-Oakland-Fremont, CA",Northern California,Startup,First Round,CA,San Francisco Bay Area,1,1,8.5
Madison,3/2/2011,55060754622,Fiberoptic Equipment,Information Technology,Communications and Networking,"Madison, WI",Midwest East,Generating Revenue,Later Stage,WI,,1,1,
Bellevue,3/3/2011,6.12387E+11,IT Consulting,Business and Financial Services,Business Support Services,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Generating Revenue,First Round,WA,Seattle Metro,1,1,8.5
Centennial,3/3/2011,6.05599E+11,Lending,Business and Financial Services,Financial Institutions and Services,"Denver-Aurora-Broomfield, CO",Mountain,Generating Revenue,Second Round,CO,,1,1,2.3
New York,3/3/2011,6.12266E+11,Business Support Services: Other,Business and Financial Services,Business Support Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Startup,Seed Round,NY,New York Metro,1,1,1
Orem,3/3/2011,6.12672E+11,Commercial Vehicles,Consumer Goods,Vehicles and Parts,"Provo-Orem, UT",Mountain,Product Development,First Round,UT,,1,1,5.53
Boulder,3/3/2011,6.12251E+11,Consumer Information Services: Other,Consumer Services,Consumer Information Services,"Boulder, CO",Mountain,Generating Revenue,First Round,CO,,1,1,1.27
Redwood City,3/3/2011,71162754773,Entertainment,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,
Sunnyvale,3/3/2011,76787755226,Solar Energy,Energy and Utilities,Renewable Energy,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Restart,CA,San Francisco Bay Area,1,1,2.97
Addison,3/3/2011,6.09611E+11,Oil/Gas Exploration and Production,Energy and Utilities,Non-Renewable Energy,"Dallas-Fort Worth-Arlington, TX",South Central,Generating Revenue,Second Round,TX,Dallas-Fort Worth,1,1,0.27
Menlo Park,3/3/2011,1.14322E+11,Basic Chemicals,Industrial Goods and Materials,Materials and Chemicals,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,First Round,CA,San Francisco Bay Area,1,1,25
Norwalk,3/3/2011,6.12249E+11,Recreational/Home Software,Information Technology,Software,"Bridgeport-Stamford-Norwalk, CT",Mid-Atlantic,Generating Revenue,First Round,CT,New York Metro,1,1,3.5
Santa Monica,3/3/2011,78891757757,Multimedia/Streaming Software,Information Technology,Software,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Later Stage,CA,Los Angeles Metro,1,1,10.01
Pittsburgh,3/3/2011,3.58551E+11,Vertical Market Applications Software,Information Technology,Software,"Pittsburgh, PA",Mid-Atlantic,Generating Revenue,Second Round,PA,,1,1,1.2
Bellevue,3/4/2011,3.56339E+11,Payment/Transactional Processing,Business and Financial Services,Financial Institutions and Services,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Generating Revenue,Later Stage,WA,Seattle Metro,1,1,3.5
Scotts Valley,3/4/2011,1.83459E+11,Recreational/Sports Vehicles,Consumer Goods,Vehicles and Parts,"Santa Cruz-Watsonville, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,10.5
New York,3/4/2011,3.55319E+11,Educational/Training Media and Services,Consumer Services,Media and Content,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,Later Stage,NY,New York Metro,1,1,32.5
San Francisco,3/4/2011,1.03723E+11,Online Communities,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,2.3
Plymouth,3/4/2011,81529755743,Pharmaceuticals,Healthcare,Biopharmaceuticals,"Detroit-Warren-Livonia, MI",Midwest East,Pre-Clinical Trials,Corporate,MI,,1,1,12
San Francisco,3/4/2011,6.12295E+11,Pharmaceuticals,Healthcare,Biopharmaceuticals,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,First Round,CA,San Francisco Bay Area,1,1,11
Redwood City,3/4/2011,84951755225,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,Later Stage,CA,San Francisco Bay Area,1,1,18.76
San Jose,3/4/2011,77433754980,Integrated Circuit Production,Information Technology,Semiconductors,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,15
Cambridge,3/5/2011,72452758305,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Clinical Trials - Phase 2,Restart,MA,Boston Metro,1,1,37.5
San Francisco,3/7/2011,3.58685E+11,Online Communities,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Second Round,CA,San Francisco Bay Area,1,1,6.9
Saint Paul,3/7/2011,1.14292E+11,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"Minneapolis-St. Paul-Bloomington, MN-WI",Midwest Central,Pre-Clinical Trials,Later Stage,MN,,1,1,11.5
Saint Paul,3/7/2011,1.14292E+11,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"Minneapolis-St. Paul-Bloomington, MN-WI",Midwest Central,Pre-Clinical Trials,Unclassified,MN,,1,1,1.1
Reston,3/7/2011,6.12328E+11,Business Applications Software,Information Technology,Software,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Generating Revenue,First Round,VA,Potomac,1,1,1.1
Santa Clara,3/7/2011,94276754863,Communications Software,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,11.2
Atlanta,3/7/2011,3.57297E+11,Wireless Telecommunications Service Providers,Information Technology,Communications and Networking,"Atlanta-Sandy Springs-Marietta, GA",South East,Generating Revenue,Second Round,GA,,1,1,1.5
Bellevue,3/8/2011,1.0348E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Generating Revenue,Later Stage,WA,Seattle Metro,1,1,6.23
Boca Raton,3/8/2011,68047754916,Lending,Business and Financial Services,Financial Institutions and Services,"Miami-Fort Lauderdale-Pompano Beach, FL",South East,Generating Revenue,Restart,FL,,1,1,
Chicago,3/8/2011,6.12413E+11,Financial Institutions and Services: Other,Business and Financial Services,Financial Institutions and Services,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Startup,Seed Round,IL,Chicago Metro,1,1,1
New York,3/8/2011,6.05528E+11,Entertainment,Consumer Services,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,Corporate,NY,New York Metro,1,1,77
Baltimore,3/8/2011,1.11559E+11,Entertainment,Consumer Services,Consumer Information Services,"Baltimore-Towson, MD",Mid-Atlantic,Generating Revenue,Later Stage,MD,Potomac,1,1,30
Worcester,3/8/2011,6.12321E+11,Drug Development Technologies,Healthcare,Biopharmaceuticals,"Worcester, MA",New England,Generating Revenue,First Round,MA,,1,1,
Philadelphia,3/8/2011,75620755342,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Product Development,Later Stage,PA,,1,1,1.01
Littleton,3/8/2011,98068755341,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Later Stage,MA,Boston Metro,1,1,11.5
Hollywood,3/8/2011,6.12332E+11,Wired Telecommunications Service Providers,Information Technology,Communications and Networking,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Product Development,First Round,CA,Los Angeles Metro,1,1,
Los Gatos,3/8/2011,1.1364E+11,Business Applications Software,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,10.6
Boston,3/8/2011,3.56668E+11,Communications Software,Information Technology,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Second Round,MA,Boston Metro,1,1,9.5
Deerfield,3/9/2011,6.12512E+11,Human Resources/Recruitment,Business and Financial Services,Business Support Services,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Profitable,First Round,IL,Chicago Metro,1,1,15
Boston,3/9/2011,6.0962E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,First Round,MA,Boston Metro,1,1,8.3
Cambridge,3/9/2011,75221754862,Advertising/Marketing,Business and Financial Services,Business Support Services,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Later Stage,MA,Boston Metro,1,1,32
San Francisco,3/9/2011,1.048E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,12
